"";"ph2m";"pl2m";"m2p";"e2p";"PC";"P(H)";"P(L)";"PCI";"PI";"HT";"HT(inf)";"HT(ch)";"HT(ad)";"EN";"HT(tot)";"DEV"
"55";0,000186160375014879;9,84110132558271e-05;0,00010128945868928;0,000140709157334641;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"56";0,000104096332681365;1,11769416835159e-05;6,69818036258221e-05;0,00027569664560724;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"57";0,000265270539443009;9,49244179064408e-05;7,75837184628472e-05;0,000152707485249266;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"58";0,000447186384466477;0,000215444432687946;5,38262468762696e-05;4,7312899841927e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"59";4,19876069063321e-05;0,000449221433605999;0,000293271757895127;8,31501325592399e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"60";0,000175049104727805;0,000287149405106902;3,6897863028571e-05;6,53441286412999e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"61";3,34390086354688e-05;0,000400253707659431;0,000440562433446758;8,2217272487469e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"62";0,000269735363079235;6,33594009559602e-05;1,1837556026876e-05;0,000280144445714541;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"63";5,47133797081187e-05;0,000229120121453889;0,000450921620824374;9,9211513181217e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"64";7,44979953160509e-05;2,40855892188847e-05;5,54367116419598e-05;0,000230507798376493;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"65";3,27344669494778e-05;7,8881136723794e-05;0,000427206464577466;0,000281032011844218;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"66";0,000196467102272436;0,000358994095004164;0,000217152899480425;3,78661032300442e-06;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"67";6,58914784435183e-06;3,76802325481549e-05;0,000352732199709862;0,000314073158893734;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"68";6,54579412657768e-05;0,000173602794646285;0,000246266520349309;8,53084757691249e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"69";2,96652666293085e-05;0,000146643774351105;0,00021371618041303;3,47403576597571e-06;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"70";2,43962195236236e-06;6,73405231209472e-05;0,000237183035700582;2,94208611594513e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"71";7,73232196224853e-05;3,69219853309914e-05;0,000183330903761089;0,000227563110296614;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"72";0,000172530955751427;0,000377861504093744;0,000101363154826686;5,94772039912641e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"73";0,000341643850901164;0,000161606778972782;2,95223519206047e-05;0,000194273824919946;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"74";0,000125921824714169;6,87790268566459e-05;8,35305207874626e-05;0,000443313844269142;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"75";9,24773853039369e-05;0,000457813794957474;0,000198404901893809;5,51883936859667e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"76";1,51238834951073e-06;0,000148315281141549;0,000166392088984139;5,9383622254245e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"77";0,000148884211434051;0,000437938294955529;0,000146041807485744;6,2593148322776e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"78";3,33545674802735e-05;8,71915305033326e-05;0,000197104494203813;0,000124724001390859;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"79";4,94650743203238e-05;0,000457753462716937;5,50390720600262e-05;2,0775684970431e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"80";4,00496053043753e-06;0,000417809702223167;0,000155348456697538;5,00299836276099e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"81";2,59912963956594e-05;0,000231108946027234;0,000108508606324904;0,000149778661550954;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"82";2,9173304210417e-05;6,98195158038288e-05;0,00012697711517103;6,73047150485218e-06;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"83";0,000378491262090392;8,67633670568466e-05;9,1607479727827e-05;0,000170347223756835;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"84";6,2919674674049e-06;0,000174787737545557;0,000413480943418108;0,000180861705681309;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"85";0,000151540822465904;5,34957118798047e-05;6,69452471192926e-05;0,000359286469873041;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"86";0,000400751601904631;0,000402927419170737;9,30862801615149e-05;3,28348688781261e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"87";4,88258660770953e-05;0,000134120912756771;0,000353806792059913;0,000192516810493544;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"88";0,000110975341056474;0,000117394198430702;0,00013269591727294;0,000225895746378228;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"89";0,000248246566159651;0,000296853822073899;5,55272981291637e-05;0,000109795174212195;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"90";0,000106493295519613;0,000114831250277348;5,3215567022562e-05;0,000223491795943119;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"91";0,000217089550453238;8,34137918427587e-05;0,000213462188490666;2,98650113400072e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"92";5,59857920743525e-05;6,63907170528546e-05;0,00026195071649272;0,000336375823710114;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"93";0,000141719104372896;2,85871904343367e-05;2,46665424201638e-05;9,40813665511087e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"94";0,000440183503669687;0,000418595429859124;3,87010932900012e-05;3,73622176703066e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"95";0,000231168388971128;0,000133721161517315;4,93669101269916e-05;0,000204671095940284;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"96";0,000171528216567822;8,63734353333712e-05;1,14093523006886e-05;0,000253551687230356;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"97";3,57498613884673e-05;5,50765250809491e-05;6,7001374438405e-05;0,000299161594011821;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"98";0,000142580122570507;1,39683437300846e-05;0,000265185307012871;8,26160666765645e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"99";0,000238115979824215;7,71886269794777e-05;2,82912938855588e-05;7,99459989648312e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"100";0,00029201719968114;4,55787854734808e-05;6,32052659057081e-07;0,000321160985622555;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"101";9,35639508534223e-05;0,000339692436042242;0,000131562574999407;8,72472366318107e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"102";2,08475039107725e-05;0,000135968989576213;0,000107082238420844;0,000284250121098012;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"103";0,000392520773224533;0,000153414422064088;8,76238744240254e-05;0,000114242385025136;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"104";0,000299445922370069;3,43225381802768e-05;0,000137802732991986;5,03863007761538e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"105";0,000164377430337481;0,000332570767961442;7,68366896081716e-05;4,73439784254879e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"106";0,000375338051235303;1,72735436353832e-06;2,57662639487535e-05;4,10693192388862e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
